"You there?";"Can you repeat that"
"Are you here?";"Can you repeat that"

"Hello";"We had a suspicious activity in your account and we need verification to make action"
"this is me";"We had a suspicious activity in your account and we need verification to make action"

"What activity";"We detected some suspicious transactions"
"What type of activity";"We detected some suspicious transactions"
"What are you saying";"We detected some suspicious transactions"
"I don't know what you are talking about";"We detected some suspicious transactions"
"No it was not me";"In order to continue further i need your id number"
"What do you need";"In order to continue further i need your id number"
"Okay";"In order to continue further i need your id number"
"My id is";"I also need your bank account number"
"Yes my id is";"I also need your bank account number"
"Okay my id is";"I also need your bank account number"
"Yes my account number is";"Thank you we have solved the problem"
"Ok my account number is";"Thank you we have solved the problem"
"My account number is";"Thank you we have solved the problem"
"Why do you need my id";"It is to confirm your identity"
"Why do you need my account number";"It is to confirm your identity"
"What's going on with my account?";"We detected some suspicious transactions"
"What transactions?";"I need to verify your identity before I can provide details"
"Why do you need my account number?";"It is to confirm your identity"
"Can I just give you the last four digits?";"Yes, that's fine"
"Is this really necessary?";"It is to confirm your identity"
"Can you cancel the transactions?";"Yes after we verify your identity"
"How did you find this activity?";"Our system flagged it as unusual"
"Can you tell me more about the transactions?";"Yes after we verify your identity"
"What if my account info was stolen?";"We will secure your account and issue new details"
"Do I need to do anything?";"Just verify your identity"
"Can I get more details on the suspicious activity?";"Yes after we verify your identity"
"How can I be sure this is legitimate?";"You can call the bank directly to verify"
"Is my account frozen now?";"No, but we may need to freeze it if necessary"
"Will I get my money back?";"Yes if the transactions are unauthorized"
"Can I check my account online?";"Yes after we verify your identity"
"How did they get my info?";"We are investigating that."
"Do you need anything else";"No that will be all"
"Need anything more";"No that will be all"
"Bye";"Goodbye"
"GoodBye";"Goodbye"
"Later";"Goodbye"
