"Question";"Answer"
"You there?";"Can you repeat that"
"Are you here?";"Can you repeat that"
"Hello";"We had a suspicious activity in your account and we need verification to make action"
"Hello there";"We had a suspicious activity in your account and we need verification to make action"
"What activity";"We detected some suspicious transactions"
"What happened";"We detected some suspicious transactions"
"What occurred";"We detected some suspicious transactions"
"What type of activity";"We detected some suspicious transactions"
"What are you saying";"We detected some suspicious transactions"
"it was not me";"In order to continue further i need your id number"
"Why do you need my id";"It is to confirm your identity"
"Why do you need my account number";"It is to confirm your identity"
"What's going on with my account?";"We detected some suspicious transactions"
"What transactions are you talking about?";"I need to verify your identity before I can provide details"
"Is this really necessary?";"It is to confirm your identity"
"Can you cancel the transactions?";"Yes after we verify your identity"
"How did you find this activity?";"Our system flagged it as unusual"
"What if my account info was stolen?";"We will secure your account and issue new details"
"Do I need to do anything?";"Just verify your identity"
"How can I be sure this is legitimate?";"You can call the bank directly to verify"
"How do i know this is not fake?";"You can call the bank directly to verify"
"Is my account frozen now?";"No but we may need to freeze it if necessary"
"Can I check my account online?";"Yes after we verify your identity"
"How did they get my info?";"We are investigating that"
"something more";"No that will be all"
"Bye";"Goodbye"
"Goodbye";"Goodbye"
"Later";"Goodbye"
